game_id,team_id,plus_minus,avg_opp_elo,is_home,days_since_last,is_back_to_back
0021901305,1610612755,-4.0,1485.5368934745136,1.0,1.0,1.0
0022000032,1610612766,2.0,1498.6783516402695,1.0,1.0,1.0
0022000033,1610612764,-7.0,1519.2524749277018,1.0,1.0,1.0
0022000033,1610612753,7.0,1512.9327930948618,0.0,1.0,1.0
0022000034,1610612759,-3.0,1515.4551681938483,0.0,1.0,1.0
0022000035,1610612755,-24.0,1493.6552397814203,0.0,1.0,1.0
0022000035,1610612739,24.0,1495.2971463568015,1.0,1.0,1.0
0022000036,1610612752,20.0,1493.652127636135,1.0,1.0,1.0
0022000037,1610612754,1.0,1509.6578540828452,1.0,1.0,1.0
0022000038,1610612741,-1.0,1470.7726632486588,1.0,1.0,1.0
0022000039,1610612756,16.0,1525.3654687084947,0.0,1.0,1.0
0022000039,1610612758,-16.0,1513.6361830101657,1.0,1.0,1.0
0022000040,1610612750,-36.0,1508.93219164019,0.0,1.0,1.0
0022000042,1610612751,-5.0,1505.2296176478264,1.0,1.0,1.0
0022000045,1610612747,-8.0,1568.791102466675,1.0,1.0,1.0
0022000047,1610612765,-10.0,1488.8664276849672,1.0,1.0,1.0
0022000052,1610612760,-11.0,1532.5122579298943,1.0,1.0,1.0
0022000055,1610612743,-10.0,1552.0748614065947,0.0,1.0,1.0
0022000056,1610612738,19.0,1552.9232906507877,1.0,1.0,1.0
0022000058,1610612749,-11.0,1523.6416140316596,0.0,1.0,1.0
0022000058,1610612748,11.0,1539.1678640793154,1.0,1.0,1.0
0022000061,1610612746,23.0,1531.2952001647345,1.0,1.0,1.0
0022000073,1610612741,-30.0,1442.5467146142998,0.0,1.0,1.0
0022000074,1610612764,21.0,1509.1047964169336,0.0,1.0,1.0
0022000076,1610612756,3.0,1534.5811939635266,0.0,1.0,1.0
0022000077,1610612762,6.0,1534.4749305008393,1.0,1.0,1.0
0022000082,1610612766,-15.0,1523.002022789416,0.0,1.0,1.0
0022000083,1610612737,-5.0,1461.9114136666376,1.0,1.0,1.0
0022000097,1610612738,12.0,1509.952801129453,0.0,1.0,1.0
0022000098,1610612742,13.0,1535.0656487042352,0.0,1.0,1.0
0022000099,1610612765,-10.0,1506.8305124229469,0.0,1.0,1.0
0022000101,1610612744,31.0,1513.790721655112,1.0,1.0,1.0
0022000112,1610612762,-12.0,1537.9089589377577,0.0,1.0,1.0
0022000116,1610612746,7.0,1523.7899991294848,0.0,1.0,1.0
0022000117,1610612741,-4.0,1464.4690701366153,0.0,1.0,1.0
0022000118,1610612755,-13.0,1474.453933531371,0.0,1.0,1.0
0022000119,1610612739,4.0,1492.9562519263702,0.0,1.0,1.0
0022000128,1610612763,5.0,1547.9425915640604,1.0,1.0,1.0
0022000128,1610612751,-5.0,1499.5854070302976,0.0,1.0,1.0
0022000131,1610612747,2.0,1529.4505881765344,1.0,1.0,1.0
0022000134,1610612766,8.0,1523.7909676985303,1.0,1.0,1.0
0022000135,1610612756,8.0,1534.0868842884183,0.0,1.0,1.0
0022000136,1610612764,-4.0,1520.9577041847472,1.0,1.0,1.0
0022000137,1610612749,10.0,1469.927643436104,1.0,1.0,1.0
0022000139,1610612753,-14.0,1514.405642862916,0.0,1.0,1.0
0022000140,1610612758,-26.0,1520.0220995639122,1.0,1.0,1.0
0022000144,1610612743,25.0,1535.2651330356612,0.0,1.0,1.0
0022000147,1610612759,-8.0,1555.1783836350257,0.0,1.0,1.0
0022000147,1610612750,8.0,1503.4952197749851,1.0,1.0,1.0
0022000149,1610612752,-21.0,1520.826024441456,0.0,1.0,1.0
0022000155,1610612761,-1.0,1525.2868991509415,0.0,1.0,1.0
0022000157,1610612755,3.0,1481.0855808384667,1.0,1.0,1.0
0022000159,1610612739,-30.0,1485.147523191823,1.0,1.0,1.0
